make	model	model_variant	color	condition	city
Mg	""	Roadster	Blue	Antique Car	Zuzwil
Mercedes-benz	S 55 AMG	S 55 AMG	Blue	Occasion	Zuzwil
Mercedes-benz	SL 600	SL 600	Blue	Occasion	Zuzwil
Mercedes-benz	E 240	E 240 Avantgarde	Blue	Occasion	Zuzwil
Bmw	Z1	null	Blue	Occasion	Zuzwil
Honda	LEGEND	Legend V6 3.5i	Blue	Occasion	Zuzwil
Porsche	911	911 Turbo	Blue	Occasion	Zuzwil
Mercedes-benz	CLS 63 AMG	CLS 63 AMG	Blue	Occasion	Zuzwil
Mercedes-benz	SL 320	SL 320	Blue	Occasion	Zuzwil
Bmw	750	750i	Blue	Occasion	Zuzwil
Audi	Cabriolet	Cabriolet 2.8 E	Anthracite	Occasion	Zuzwil
Audi	RS6	RS6 Avant 5.0 V10 quattro	Blue	Occasion	Zuzwil
Mercedes-benz	C 230	C 230 Elégance	Blue	Occasion	Zuzwil
Lamborghini	GALLARDO	Gallardo LP570-4 Coupé SL	Blue	Occasion	Zuzwil
Mercedes-benz	S 65 AMG	S 65 AMG L	Blue	Occasion	Zuzwil
Renault	Alpine A110	A5 Motor	Blue	Occasion	Zuzwil
Mercedes-benz	190	190 E 2.5-16 ABS	Blue	Occasion	Zuzwil
Bmw	2002	Turbo	Blue	Occasion	Zuzwil
Ford (usa)	MUSTANG	5.0 GT Premium 50 Years	Blue	Occasion	Zuzwil
Lamborghini	GALLARDO	Gallardo LP550-2 Cpé V.B.	Blue	Occasion	Zuzwil
Ferrari	F430	F430 Spider	Blue	Occasion	Porrentruy
Land Rover	RANGE ROVER	Range Rover 3.6 d HSE	Anthracite	Occasion	Zuzwil
Mercedes-benz	CL 500	CL 500	Blue	Occasion	Zuzwil
Maserati	QUATTROPORTE	Quattroporte 4.7 S	Blue	Occasion	Zuzwil
Bmw	530	530d Touring	Blue	Occasion	Zuzwil
Vw	EOS	Eos 2.0 FSI T	Blue	Occasion	Zuzwil
Audi	A6	A6 4.2 V8 quattro	Blue	Occasion	Zuzwil
Mercedes-benz	E 55 AMG	E 55 AMG Avantgarde	Blue	Occasion	Zuzwil
Porsche	911	911 Carrera Cabrio	Blue	Occasion	Zuzwil
Bmw	X3	X3 3.0i	Blue	Occasion	Zuzwil
Bmw-alpina	6 SERIES	B6 4.4 V8 Cabrio	Blue	Occasion	Zuzwil
Bmw	540	540i	Blue	Occasion	Zuzwil
Mercedes-benz	SL 55 AMG	SL 55 AMG	Anthracite	Occasion	Zuzwil
Porsche	BOXSTER	Boxster S 3.2	Blue	Occasion	Zuzwil
Ferrari	458	458 Italia 4.5 V8 Speciale	Blue	New	Zuzwil
Mercedes-benz	E 420	E 420 Elégance	Blue	Occasion	Zuzwil
Mercedes-benz	ML 63 AMG	ML 63 AMG 4Matic	Blue	Occasion	Zuzwil
Mercedes-benz	E 55 AMG	E 55 AMG Avantgarde	Blue	Occasion	Zuzwil
Mercedes-benz	S 600	S 600	Blue	Occasion	Zuzwil
Mercedes-benz	SLK 230	SLK 230 Kompressor	Blue	Occasion	Zuzwil
Lotus	ESPRIT	Esprit 3.5 V8 SE	Blue	Occasion	Zuzwil
Subaru	IMPREZA	Impreza 2.5T WRX	Blue	Occasion	Zuzwil
Aston Martin	DB7	DB7	Blue	Occasion	Zuzwil
Land Rover	RANGE ROVER	Range Rover 4.4TD Vogue	Anthracite	Occasion	Zuzwil
Mercedes-benz	S 500	S 500	Blue	Occasion	Zuzwil
